ID,Product_Name,Material,Price,Product_Page,MRP_Rate,Offer,Estimated_Delivery,Category,Rating,Reviews
6707,Pontus Wall Mirror,Wood,0,https://vaaree.com/products/pontus-wall-mirror-1,5999,41,2025-03-10,Mirrors,0,1
7509,Oceane Wooden Tall Candle Stand - Set Of Two,Wood,1299,https://vaaree.com/products/oceane-wooden-tall-candle-stand-set-of-two,4800,73,2025-03-10,Religious & Spiritual Items,5,2
9208,Tribal Bonfire Tealight Candle Holder,Metal,1139,https://vaaree.com/products/tribal-bonfire-tealight-candle-holder,2321,51,2025-03-15,Religious & Spiritual Items,5,1
7822,Little Budha Smoke Fountain - Blue,Polyresin,280,https://vaaree.com/products/little-budha-smoke-fountain-blue,2999,91,2025-03-10,Religious & Spiritual Items,1,3
5628,Holy Cowbell Toran,Metal,375,https://vaaree.com/products/holy-cowbell-toran,899,59,2025-03-10,Religious & Spiritual Items,5,1
9470,Shubhlabh Pooja Thali Set,German Silver,2625,https://vaaree.com/products/shubhlabh-pooja-thali-set,3938,34,2025-03-15,Religious & Spiritual Items,3,2
5970,Its A Crystal Affair Tealight Candle Holder (Gold) - Set Of Two,Iron,861,https://vaaree.com/products/its-a-crystal-affair-tealight-candle-holder-gold-set-of-two,1292,34,2025-03-15,Religious & Spiritual Items,0,10
9417,Kantha Incense Stick Holder,Brass,280,https://vaaree.com/products/kantha-incense-stick-holder,599,54,2025-03-10,Religious & Spiritual Items,0,10
3377,Divine Natraj Idol,Aluminum,399,https://vaaree.com/products/divine-natraj-idol,799,51,2025-03-10,Religious & Spiritual Items,3,1
3539,Sugandha White Sage Smudge Incense Sticks - Pack Of Two,Aluminum,180,https://vaaree.com/products/sugandha-white-sage-smudge-incense-sticks-pack-of-two,199,10,2025-03-10,Religious & Spiritual Items,5,1
8058,Mayoor Bless Diya,Iron,315,https://vaaree.com/products/mayoor-bless-diya,799,61,2025-03-10,Religious & Spiritual Items,5,1
5425,Tripti Decorative Urli,Iron,784,https://vaaree.com/products/tripti-decorative-urli,1176,34,2025-03-15,Religious & Spiritual Items,0,4
5439,Sino Ethnic Tealight Candle Holder,Metal,499,https://vaaree.com/products/sino-ethnic-tealight-candle-holder,749,34,2025-03-15,Religious & Spiritual Items,0,4
5970,Holy Chakra Latkan,Metal,375,https://vaaree.com/products/holy-chakra-latkan,899,59,2025-03-10,Religious & Spiritual Items,0,10
5056,Butterfly Shadow Tealight Candle Holder - Set Of Four,Polyresin,379,https://vaaree.com/products/butterfly-shadow-tealight-candle-holder,699,46,2025-03-15,Religious & Spiritual Items,4,1
4329,Sacred Adiyogi Idol,Glass,240,https://vaaree.com/products/sacred-adiyogi-idol,899,74,2025-03-10,Religious & Spiritual Items,1,2
9132,Zen Breeze Scented Incense Sticks - Pack Of Four,Resin,275,https://vaaree.com/products/zen-breeze-scented-incense-sticks-pack-of-four,400,32,2025-03-10,Religious & Spiritual Items,4,1
1531,Multicolor Tealight Candle Holders - Set Of Ten,Brass,599,https://vaaree.com/products/multicolor-tealight-candle-holders-set-of-ten,719,17,2025-03-10,Religious & Spiritual Items,1,1
1685,Nega Incense Burner - White,Brass,799,https://vaaree.com/products/nega-incense-burner-white,1099,28,2025-03-10,Religious & Spiritual Items,0,10
9832,Sugandha Herbs & Flowers Smudge Incense Sticks - Pack Of Four,Polyresin,340,https://vaaree.com/products/sugandha-herbs-flowers-smudge-incense-sticks-pack-of-four,450,25,2025-03-10,Religious & Spiritual Items,0,404
2614,Mitra Brass Incense Stick Holder,Polyresin,1113,https://vaaree.com/products/mitra-brass-incense-stick-holder,1855,40,2025-03-10,Religious & Spiritual Items,0,2
2386,Brass Panchmukhi Hanuman Idol,Brass,960,https://vaaree.com/products/brass-panchmukhi-hanuman-idol,1299,27,2025-03-10,Religious & Spiritual Items,5,1
6522,Shiva Sagar Idol,Unknown,920,https://vaaree.com/products/shiva-sagar-idol,2999,70,2025-03-10,Religious & Spiritual Items,0,10
9198,Lord Ganesha Smoke Fountain,Unknown,340,https://vaaree.com/products/lord-ganesha-smoke-fountain,2999,89,2025-03-10,Religious & Spiritual Items,0,10
8500,Om Swastik Brass Diya,Unknown,340,https://vaaree.com/products/om-swastik-brass-diya,499,32,2025-03-10,Religious & Spiritual Items,2,1
1691,Parental Bonding Showpiece - Set Of Two,Iron,647,https://vaaree.com/products/parental-bonding-showpiece-set-of-two,1100,42,2025-03-15,"Showpieces, Vases & Accent Bowls",0,1
8085,Gramophone Vibes Showpiece,Brass,378,https://vaaree.com/products/gramophone-vibes-showpiece,567,34,2025-03-15,"Showpieces, Vases & Accent Bowls",0,17
4551,Fika Vases - Set of Two,Ceramic,899,https://vaaree.com/products/fika-vases-set-of-two,1499,40,2025-03-10,"Showpieces, Vases & Accent Bowls",0,9
3225,Graceful Elegance Showpiece - Set Of Two,Iron,647,https://vaaree.com/products/graceful-elegance-showpiece-set-of-two,1100,42,2025-03-15,"Showpieces, Vases & Accent Bowls",0,5
5540,Literary Escape Typography Showpiece - Set Of Two,Iron,485,https://vaaree.com/products/literary-escape-typography-showpiece-set-of-two,900,47,2025-03-15,"Showpieces, Vases & Accent Bowls",0,2
3393,Owl Play Showpiece,Polyresin,849,https://vaaree.com/products/owl-play-showpiece,1274,34,2025-03-10,"Showpieces, Vases & Accent Bowls",0,4
3372,Gramaphone Antique Showpiece,Brass,500,https://vaaree.com/products/gramaphone-antique-showpiece,1199,59,2025-03-10,"Showpieces, Vases & Accent Bowls",0,3
3587,Caim Vase - Pink,Ceramic,549,https://vaaree.com/products/caim-vase-pink,999,45,2025-03-10,"Showpieces, Vases & Accent Bowls",0,1
5680,Whimsy Paperbag Vase - Blue,Ceramic,564,https://vaaree.com/products/whimsy-paperbag-vase-blue,2000,72,2025-03-10,"Showpieces, Vases & Accent Bowls",0,2
5665,Master Of Sea Showpiece,Metal,2399,https://vaaree.com/products/master-of-sea-showpiece,3999,40,2025-03-10,"Showpieces, Vases & Accent Bowls",0,1
4856,Kseniya Birds Flock Showpiece,Metal,3079,https://vaaree.com/products/kseniya-birds-flock-showpiece,5499,44,2025-03-10,"Showpieces, Vases & Accent Bowls",0,2
8194,Baby Monk Showpiece - Set Of Four,Polyresin,520,https://vaaree.com/products/baby-monk-showpiece-set-of-four,999,48,2025-03-10,"Showpieces, Vases & Accent Bowls",0,5
8038,Baby Monk Showpiece,Polyresin,260,https://vaaree.com/products/baby-monk-showpiece,1299,80,2025-03-10,"Showpieces, Vases & Accent Bowls",0,8
8624,Mysti Glow Vase - Set Of Two,Ceramic,1899,https://vaaree.com/products/mysti-glow-vase-set-of-two,2659,29,2025-03-15,"Showpieces, Vases & Accent Bowls",0,3
3566,Melrose Tribal Terracotta Vase - Set Of Three,Terracotta,1385,https://vaaree.com/products/melrose-tribal-terracotta-vase-set-of-three,1849,26,2025-03-15,"Showpieces, Vases & Accent Bowls",0,7
6508,Esoteric Vases (White) - Set of Three,Ceramic,1499,https://vaaree.com/products/esoteric-vases-white-set-of-three,2499,40,2025-03-10,"Showpieces, Vases & Accent Bowls",0,3
9742,Law and Order Showpiece - Set Of Two,Iron,526,https://vaaree.com/products/law-and-order-showpiece-set-of-two,950,45,2025-03-15,"Showpieces, Vases & Accent Bowls",0,1
3345,Florona Spread Showpiece,Steel,1034,https://vaaree.com/products/florona-spread-showpiece,1550,34,2025-03-10,"Showpieces, Vases & Accent Bowls",0,1
7985,Meow Showpiece - Black,Resin,1199,https://vaaree.com/products/meow-showpiece-black,1799,34,2025-03-10,"Showpieces, Vases & Accent Bowls",0,3
9202,Cricketer Showpiece - Set Of Two,Iron,526,https://vaaree.com/products/cricketer-showpiece-set-of-two,950,45,2025-03-15,"Showpieces, Vases & Accent Bowls",0,7
8929,Deer Repose Showpiece (Green) - Set Of Two,Resin,999,https://vaaree.com/products/deer-repose-showpiece-green-set-of-two,1499,34,2025-03-10,"Showpieces, Vases & Accent Bowls",0,4
9712,Fika Vase,Ceramic,495,https://vaaree.com/products/fika-vase,825,40,2025-03-10,"Showpieces, Vases & Accent Bowls",0,1
5838,Spill The Milk Showpiece,Resin,999,https://vaaree.com/products/spill-the-milk-showpiece,1499,34,2025-03-10,"Showpieces, Vases & Accent Bowls",0,3
